model_id,provider,tested
nllb-200-distilled-1.3B-ct2-int8,nllb-api,no
googletrans,googletrans,no
claude-sonnet-4-6,anthropic,no
claude-opus-4-6,anthropic,no
gemini-2.5-pro,gemini,no
gemini-2.5-flash,gemini,no
gemini-3.1-pro-preview,gemini,no
gemini-3.1-flash-lite-preview,gemini,no
deepseek-ai/deepseek-v3.2,nvidia,yes
google/gemma-3-1b-it,nvidia,yes
google/gemma-3-27b-it,nvidia,yes
openai/gpt-oss-120b,nvidia,yes
moonshotai/kimi-k2-instruct-0905,nvidia,yes
meta/llama-3.1-405b-instruct,nvidia,yes
minimaxai/minimax-m2.1,nvidia,yes
meta/llama-4-maverick-17b-128e-instruct,nvidia,yes
mistralai/mistral-large-3-675b-instruct-2512,nvidia,yes
qwen/qwen3.5-397b-a17b,nvidia,yes
meta/llama-3.2-1b-instruct,nvidia,yes
gemini-3-flash-preview,gemini,yes
gpt-5.1,openai,yes
